1,-9079101.5299
2,-9073048.31258
3,-9068917.55217
4,-9065517.98356
5,-9062386.55386
6,-9059319.34396
7,-9056215.76886
8,-9053017.24942
9,-9049682.67007
10,-9046183.00862
11,-9042508.25095
12,-9038676.80409
13,-9034734.91699
14,-9030746.12013
15,-9026780.80658
16,-9022909.97496
17,-9019198.62903
18,-9015700.53695
19,-9012459.64118
20,-9009504.4041
21,-9006840.74415
22,-9004455.50759
23,-9002324.43249
24,-9000419.25045
25,-8998706.12159
26,-8997152.5388
27,-8995738.79932
28,-8994453.13632
29,-8993285.11
30,-8992225.53106
31,-8991260.17518
32,-8990375.89786
33,-8989566.33959
34,-8988824.33736
35,-8988139.28075
36,-8987497.73154
37,-8986893.85568
38,-8986324.57774
39,-8985786.77574
40,-8985280.92514
41,-8984808.04286
42,-8984365.95904
43,-8983951.93379
44,-8983565.63863
45,-8983206.72145
46,-8982872.48042
47,-8982557.37605
48,-8982256.33591
49,-8981967.01293
50,-8981688.6763
51,-8981420.8098
52,-8981161.48061
53,-8980907.34986
54,-8980656.87894
55,-8980408.37709
56,-8980158.75498
57,-8979904.41564
58,-8979641.54647
59,-8979365.9487
60,-8979072.03376
